text,label
They also threatened to throw me out of the country .,0
Besides who would even bother to help them ?,1
"Yeah, seems Negroes are too stupid or too arrogant to use an existing thread , so we see a new `` we be eguptshuns an sheet '' every week or so .",1
"well, the liberals would go ape crazy .",1
Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,1
There are many alternatives to adopting little mud babies.There is srrogate mothers and invitro fertilization are just two.If these are not financialy possile then wait till it is .,1
May they all get mad cow disease .,1
Read the earlier posts and see that there are still lots of non-whites coming to Denmark .,0
I just cant stand to listen to negros sing and 30 sec. is all I could handle .,1
It is in the nature of Jews to desecrate traditions of all sorts and push our women to make fools of themselves .,1
"The liberals are going to get their panties in a bunch , with people like you saying we must learn to defend ourselves .",1
I will respond until Armenian scum will stop,1
You have to defend yourself with riots happening across the country and invaders flooding across our borders .,1
"Hi, I am in Nor Cal and there are many other like minded people here too .",0
"One thing you seemingly cannot grasp--that JEWS themselves are messiah , and their kingdom is earthly .",1
We need to get ahold of everyone and plan something this weekend .,0
"Good going libtards , you ruined Rhodesia .",1
Does it surprise you that jews promote faggotry ?,1
Check out the link in my sig brother .,0
This is completely disgusting ... How can we continue to house these people who have complete contempt for us and all our laws and customs ?,1
there's a spirit rising a spirit called my blood a spirit that needs purity a spirit that needs one one in mind,0
You are the loyal punk to dead men that would underbid your labor with slaves of the negro race .,1
"Also, it 's so sad to see so much pre made crap in their grocery buys .",0
Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/gxv2b33v37la6pz/Booklet % 20Description % 20Box % 20Info.txt,0
We have already taken too much that we do n't need any of those people on our soil .,1
"Negro Parolee Strangles Elderly White Couple In Their Home , Suspected In Another Murder ...",0
"Well then , that makes the fact these scum are sending millions of their kin to my country , taking jobs from the White inhabitants , killing our people and mongrelizing our race all alright then .",1
"There is no expectation of privacy in public , so taking their pictures is legal .",0
"They ca n't survive without us , but they do us nothing but harm .",1
Ssupreme88,0
"Liberals change the facts to fit their deluded narrative , intelligent people change the narrative to fit the facts .",1
Their aggressiveness is a massive reason for their ' success ' .,1
"A Kosher slaughter , blessed by every Rabbi under the sun .",1
So very few compared to the tens of millions who have done nothing to advance society .,0
"I have light brown hair and light brown eyes , like my father .",0
I 'd imagine trying to live there as a white nationalist would be extremely hard .,0
I need something translated but I would settle for a `` live '' internet sports channel that carries lithuanian or latvian sports .,0
I wonder if we 'll see any pictures of cops with garlands round their necks dancing with the natives this year ?,0
They preach diversity at their professor jobs and government jobs and it makes those White Liberal Neighborhoods and gated communities TOO white and in need of some `` Black flavor '' at home the joy of diversity right in their White daughter 's bedroom !,1
LOL,0
The have no concept of honour or of having respect for the feelings of others .,1
"1/2 messican , 1/2 White babies can often pass for White until they turn six or seven when the golden brown coating covers all .",0
If they were jew pieces of garbage who the hell cares what happened to them .,1
"Ever since SF came back on line people have adopted a more aggressive line of debate , the threads I have been on seem to have gone that way pretty quickly anyway .",0
"A few weeks ago i started looking into doing that and have got a few pictures and LOADS of mobile numbers so far , reds are just SO naive !",1
and i bet not a single one was a dirty African.they will be well taken care of on welfare payments.just like the old days the Irish starve and have to go abroad to find work only this time parasitical foriegners stay here in nice new homes well fed watching big flat screen tellyspeople of Ireland WAKE UP !,1
"Surely they could n't stop you `` expressing your religious convictions '' , could they ?",0
It made me sick looking at all the Blacks and Asians .,1
"well im in town every day and i 've never come accross them. it was probably a group of about five 15 year olds who had been drinking all day and were out on the piss having a laugh. if its an organised group , they do n't sound too smart .",0
I saw a white and a black couple the other day and nearly went ballistic and got enraged .,1
"When the wheel hits the road , it wo n't matter if you swing for yellow or black , just that you swing from the nearest overpass .",1
I saw it on friday Thats just about the right impression ( i believe ) one should have about them .,0
Separation is the only answer !,1
You may as well think of it as the blood of an animal .,0
"I'm often asked what my main squeeze looks like , here she is , Sweet Polly Purebred , in a scene where I save her from the evil jew scientist Simon Bar Sinister",0
It would be nice to see Negro leaders like that take charge and lead their people home .,0
She has more courage than the whole German nation put together .,0
Last thing we want is them moving off the reserves .,1
Why White people used to say that sex was a sin used to be a mystery to me until I saw the children of browns and mixed race children popping up all around me .,1
So within the next day or so my user name will be MICHIGAN GHOST I just did n't want to have anything associated with Bradley or the uka !!!!,0
I 'll be leaving for basic pretty soon .,0
"After the party and kid 's games , there were two dozen little `` houses '' set up in the parking lot for trunk-or-treat candy for the kids .",0
We shall see .,0
WE CRIPPIN NIGGA .,1
Sooner or later the black one will say `` mother * * * * er '' or `` madick '' .,1
"This is a sickening trend , even in countries like mine where there are not many Negroes they do this and all because of the sickening media brainwashing .",1
"Here is the link to our Youth Corps page , just click on the words !",0
"Yes, she was born in Svrljig ( 11 .",0
S.African police clash with poor protesters | Top News | Reuters Hand the country over to Muds and what do you expect .,1
Bbut they are creeping in slowly seeing more and more these days .,1
I do like the outfit they dressed the simian in ; he looks so regal,1
"I have a Cracking the new SAT guide , and some books required through an american home school .ISBN-10 : 0375764852 ISBN-13 : 978-0375764851 PM If youre interested .",0
Correct that is the exact goal of the Elite in North America .,0
"There will always be survivors , the juden will never let go of the holahoax",1
Hopefully the traitors will be encircled in Westminster palace .,1
hope one day i will be able to see finland withouth those * * * * ing monkey ass soumalian ... im glad .. because finland has lowest immigrate in europe ..... kick those * * * * ing soumalians ass .....,1
"Nowadays, your ebony specimen chooses to sit at the back of the bus , so they can get up to all manner of mischief !",1
"They are scum , they are traitors .",1
"Manic street preachers are also red scum and basically every band playing is left-wing/pro-faggot , and many of them are drug using lowlifes .",1
To found a white community you must be in charge of all the elements that make up a community .,0
"Our smart liberals say that we need thousands of `` high-quality '' non-european immigrants per year , but for what ?",0
Hell some places are a buck a round for green tip its hilarious .,0
"But you must know that caucasians is not like blacks , they just animals and subhumans .",1
"Q : If Johnny was at his own 10 yard line when he threw the ball and Jimmy was at his 30 yard line when he caught the ball , how many yards did Johnny throw the ball ?",0
Something must be done to halt this terrible wave of immigrants entering Britain .,1
There are lots of brown and black kids in the system gays could adopt .,1
i hope our patriots will throu eggs at them and will say some thing like get out to the jungle or i think our coach will make them to go to the trainnig at minus - 30C or - 50F that they uuuu will never be able to play agane and will fly to africa after first tranning 2508,1
"Actually, it 's not us who 's killing them ... it 's they who are killing us .",1
Any expressing of their homosexuality outside their home however must be stopped .,1
If ya wanna talk just PM me .,0
I'm going to post this one a bit early just in case .,0
Or hide it behind a link or something ?,0
"Here, for your ease & convenience -- Insight on the News current annual list as found @ http://www.insightmag.com/main.cfm ? i ... storyid = 464383 Insight 's Top CollegesPosted Sept. 15 , 2003 By Stephen Goode Published : Tuesday , September 30 , 2003 Insight 's Top 15 ( in alphabetical order ) , based on commitment to undergraduate teaching and use of a traditional curriculum .",0
"When I get out of boot camp from the Marines Im going to get the Eagle , Globe , and Anchor tattoo on my right Arm big too .",0
What time is the game ?,0
Officials are puzzled as to the cause .,0
Like many on here are .,0
Shocking This is a similiar incident to that of a Boy in England recently who was killed by Muslims for wearing an England Shirt .,0
Hitler was about as Jewish as a Negro is a Chinaman .,0
I would not be surprised if this woman was specifically targeted by local Jews from her town for this abominable treatment .,1
`` Can you tell me where this service is ?,0
Pakis are all about forcing their culture on us .,1
Its the rural towns that would allow a community to go unnoticed and unattacked at first .,0
"I mean three or four years older , like 24 or 25 years of age .",0
"Besides Thanksgiving , to me , is just an excuse to mess around and eat as much turkey , potatoes , corn , stuffing , and cranberry sauce as I can .",0
It 'll be a welcome change to see a fellow WN from seeing hundreds of lefty bastards going to see RATM .,1
See the threads : Over 1800 gathered to honour Daniel !,0
"It 's another way to destroy Hungarians on top of promoting * * * * * * music , race mixing and pornography .",1
"yeah but you live in a big country , N. Ireland is quite small yet large numbers of the scum are invading these shores every day",1
I've always said that black people make the perfect slaves because anyone who cannot or will not take responsibility and be master of their own lives is already a slave .,1
"Him , his wife , and his kids have absolutely no place in a white nation and it 's disgusting how they put an end to thousands of years of evolution for being so selfish .",1
"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",0
As a brit my knowledge of american law is somewhat lacking but even i know that this holder groid has committed treason,1
"Jackson 's retrial took jurors back to the events of late summer 1977 , when two widows , Vernita Curtis , 81 and Gladys Ott , 90 , were beaten and strangled to death during burglaries a week apart in a Long Beach apartment building .",0
Do you have huge numbers of all the various turd to urine coloured rainbow of third worlders like many parts of Canada ?,1
"[QUOTE=Trotis;10497843]Isn't South African chocolate made by overseas companies based in SA ? ( British and Swiss ) Would a `` Mars bar '' taste different made in SA compared to one in England ? / QUOTE ] I would have thought so too , but the stuff tastes different .",0
"The rag-heads dont have the numbers to kick off in Ireland yet , but when they do , you will know all about it .",1
"With that many groups under the same AO , I wonder how much toe stepping is going to occur ... hope none of our own people get hurt .",0
For more on The Knight 's Party .,0
If i sent you some pic wound use be able to put them up cuz use dont have many also i have lots of links to give use,0
The problem is there 's so many white liberal self hating traitors on the same side as the Jews and nonwhites .,1
Fathers of Sweden watch out for your daughters ' safety !,0
I am a 23 year old Spanish guy .,0
It does n't matter how you dress up a mud .,1
I doubt you can actually get close enough to the antis to pass a flower .,0
Bunch of phonies .,0
Their gods often had pale skin and blue eyes but I suppose literacy is n't valued highly by their cultural intelligencia .,1
Whites should not be forced in atheistic view in-kind .,0
Check out my thoughts !,0
id like kids eventually. but not now. as for your sterlization. that is great. there really is no use for ppl to produce kids if they are wackos. being a nutjob is herditary .,1
I will have to try that and see how much force it adds !,0
Will someone kindly tell me how to enter my signature ?,0
Last Friday an associate here handed out 100 NV leaflets at a rodeo depicting a graphic summation of non-white ( mestizo ) immigration .,1
"But if White people find a user for a plant native to Africa , the negroes want a royalty .",1
The Rest Of The Story,0
God knows what would come out of Africa if only blacks could come up with investigative journalism .,1
"There must have been about 10 of them , all black , and others coming in to join them .",0
The only way to stop it and its followers from spreading is to join a White unity organization and not support democracy by not voting .,1
"Do n't sit around and argue with them , just act like they are pathetic ( which they are ) and try to shame them .",1
With the help of God we will be congratulating an Irish WN Party on their election success in the not so distant future .,0
The ugly black will always be .... black !,1
Sexual assault suspect caught on cellphone video - YouTube Rape Suspect Caught On Cellphone Video Arrested - News Story - KTVU San Francisco Dion McDaniel 's mugshot,0
Then we will create a Marxist style school system to further dumb them down and reduce them to obedient global citizens .,1
Dollar Tree also had a selection of affordable decorations .,0
"No I havent , none of them are in my area the nearest in over an hour away and the picture if them was posted almost three years ago .",0
Many of them are doing just as their masters desire .,1
White + Asian DOES NOT make white babies .,1
There's so many good choices it 's hard to pick just one all time favorite .,0
Who the hell cares if its not kosher ...,1
"A federal judge in New York closed a filthy jew kosher slaughterhouse Tuesday , saying the plant 's dirty birds posed a health risk to the community .",1
"its simple , your white. your genetic code doesnt include a racial commitment to crime. be glad and for for those reasons. this is what society has turned into. take a stand and defend your race. we must secure the existence of our people and a future for white children.-david lane white racial loyalty starts here keep it white",1
I recommend Quex to watch first .,0
Because they a vile plague on all of mankind that no one really likes .,1
"We have to kill off all of the Whites so we can go back to eating cow dung ! """,1
Here is possibly the best county to live in when one considers the Mud Index .,1
Perhaps you would like to comment on the link below ?,0
FANTASTIC!!,0
I wonder why the Jewish Media always pretends that all the blood thirsty third world savages are victims and it is all Whitey 's fault ?,1
Without us they would still be living in mud huts with sharpened sticks .,1
Oh .,0
"The white population must have a place it calls its own , segregated .",1
I am in agreeance with you about this haven being a great place to speak out and vent the anger we get from living in Zogworld .,1
She was probably the victim of a groid rage rape also .,1
Did you see the video .,0
Oklahoma althought I carry a french name because my parents both was adopted. mother is german and my father is scottish,0
Interesting .,0
I havent been in Mayo in around three years but back then it was one of the last good Irish places left .,0
When asked how I knew the holocaust was a lie my answer was if it was the truth there would be no laws against saying it was a lie .,1
"Thanks, ive actually found this to be a very warm and welcoming site , been reading for a few weeks now , thought id register .",0
It is nothing short of hysterical that you are such a retard you have to TELL us in your username that you are `` educated . '',0
"Not even other races mixing it up with each other , its whites mixing with all .",0
"So it 's not enough Professor Ratajczak 's life was destroyed when he was fired , some filthy desert rat from Israel still had to go kill him ?",1
As usual the magic negro opens his mouth and lies pour forth .,1
Also work my core and upper body .,0
"The only thing manipulated here are the minds of few foreigners , who reckon they can live amongest superiour , pagan blood .",1
Definitely going to do that !,0
Then your gonna see what hell is like .,0
This is such a stupid question as you are not born poor or rich but if it came down to it obviously white and `` poor '' .,0
I'm in the pittsburgh area myself .,0
I think a lot of black males become conceited by this .,0
Might I suggest this documentary series for getting rid of europhobic tendencies ?,0
"Since they are just little kids i do n't want to be rude , but how ugly is the black kid compared to the others ? it 's not even adorable , it 's kinda scary lol",1
I wish to know what actions Swedes are taking exactly against the invading races !,0
Sub 70 I.Q. I would say for sure .,1
Never.,0
88 !,0
"I always thought it was be fun to put on a minstrel show , a little entertainment showing things how they really are without black/jew/fag involvment . . if it ever gets put together i 'll be sure to tape and and pass it around for all to enjoy",1
Once the negros start coming in bunches it will be a hellhole and the whites will have to leave again and start a new community .,1
What about Asians ...,0
"Such as a person with one arm , wheel chair ect .",0
"Latest reported attack on students by the local Negroes was on a couple out getting a pizza in the late evening hours , 4 Blacks jumped them on their walk home .",1
But I love this song and video so I thought I d post it here since the topic is about him .,0
He use to run it a few year ago I use to run around with him and some other lads from London,0
"Over and over , you hear about home-schooled kids beating out public school kids for spelling bees .",0
Please join the discussions first before posting your pictures .,0
"Ya, and they kind of missed the fact that he is going to inner city schools teaching the monkeys how to better kick your white butt !",1
Paul also has a daily radio program throughout the week on White Pride radio | The Voice of the White Resistance ! called ' The Fightin ' Side Of Me ' .,0
I think asians are hot but they arent the girls I wanna get with.A wolf is pretty but do you wanna pet one ? White girls are only ones to be trusted .,1
"`` The aim and final end of all music should be none other than the glory of God and the refreshment of the soul . '' - Johann Sebastian Bach `` Where there is devotional music , God is always at hand with His gracious presence . '' - Johann Sebastian Bach",0
They aught be ashamed of themselves for covering up or downplaying the story about these predators .,1
I 'd like to see Iran wipe Israel off the map .,1
"Notice how not one of these Hungarians gave one good source validating their preposterous claims , they just came here to complain and start name calling , just as stupid liberals do .",1
I've recently gotten a recommendation for Peaceful Warrior .,0
I put sports drinks in them on longer rides and keep water in the Camelback .,0
Not to mention that they do n't belong here anyway .,1
California tried to pass a law requiring bio-metric fingerprint ID technology on guns last year ; SB 283 ..,0
Ready .... GO !!!,0
These idiots are doing this to hasten Armageddon so they can get a free ride to heaven .,1
"If making a personal profit from government is even in a politician 's or activist mind they are good for nothing , but kindling .",0
"They 're a waste of space and they 're filthy , tax payer robbing , mentally challenged , primitive , unintelligent cultural trash .",1
"BTW you are not wrong about Mildura , I went through there in mid 2000 and there was n't a non-White in sight but late last year when I went through there all I saw were islanders , indians , asians , and whatever other crap little johnnie could get dumped into the country .",1
"French and Spanish are offered , but there is only one french teacher , as opposed to our 4 or more Spanish teachers , so the number of students able to take French is VERY limited .",0
It is hard to say what is going to happen however one way or the other I think Whites in South Africa should get out of the country and try to make it to a safer location such as Canada or Australia .,0
The gift that keeps giving .,0
"the.PLE.objectives ( helping.establish.young.whites/families.in.housing , jobs.etc. ) .Both.my.Brother. & .I .are.very.interested.in.your.program.",0
Who said the Bible was written by the Jews of today ?,0
i live up the block from a muslim mask. every friday they rule the streets. they think that they can walk anywhere they want and if your are white they give you a look just klike when you pass through a black neighborhood. they are the same as them nigs,1
They are culturally raping european countries in every way .,1
"The natural royality of the planet was not the posing apes , but the Overman .",1
Not only is this case typical of the feral sub humans but it 's a perfect example for our people of how totally out of control they are and that they cannot be allowed to remain among us .,1
"Here is the Haiti story for the negro sock puppet , posted for the umteenth time Dr William Pierce The Island Paradise of Haiti - YouTube",0
Hopefully someone will moderate this thread .,0
They're coming out of the woodwork to oppose white unity and White History Month .,1
"``Confrontingthe Girl Who Shot Me In the Face '' -- Dr. Phil - YouTube The female negro is making excuses like its not her fault but we all know its TNB , I feel for that poor white woman",1
So you use the jew run media brainwashing service to give credit to soo few black people ?,1
"Wow she is beautiful and a WN , I like her seig heil salute we need more women like this , she is very beautiful indeed .",0
It 's a symbol demonstrating a lack of oxygen to the head of all its members .,1
It should come as no surprise that the Jews start embracing the degeneracy that they promote ; what goes around comes around .,1
the father said on the news this morning the church has already told him they would appel the verdict and if they lost again they would just file bankruptcy and he wouldnt see a dime !,0
"Seriously Canada would have been better off if they left the pakis at home , im like you I do n't object to asians because they at least try to fit in .",1
"I think if there are cases of infected people in your area , then yeah Id take them out of school .",1
"Thankfully, the C.W. Camp-Out will go ahead this year .",0
ANTI WHITE WATCH,1
I hope this little groid tortures her .,1
Do non Whites really think they measure up to Whites ?,1
I guess it is all Jews because that rabbi guy who says we must to serve Jews was a Iraqi Jew .,1
It is easier for other races to follow the herd but not Whites .,1
No figures are available because none are made public .,0
"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",1
"I think the only connection homosexuality has to Christianity , in this country , is the large proportion of paedophiles being representatives of Christian churches .",1
These disgusting perverted white men are no different than the white women who have sex with black men just because they have a bigger penis .,1
I 'm surprised they 're not holding the gun back to front .,1
I place white power propaganda in fast food restaurants and public places like movie theatre toilets and public toilets and public phone terminals .,0
i feel sorry for her if one of her daughters did die but the harsh reality is she has no connection to ireland and she must go.as a mother it is her job to protect her children in Nigeria.every Nigerian who has a problem cant come running over here,1
Tell them we 'll legalize drugs and pedophilia .,1
She then had the other students vote him out of the class .,0
This gay kill a young bulgarian man to protect some criminal brown gypsy from beating This is the true face of so-called `` anti-racist '' !,1
YouTube - Hail Combat 18 YouTube - Shebeen - Fields Of Athenry ( Garvaghy Road ) !,0
http://www.census.gov/geo/www/mapgal...inPD-1990.html,0
"We have plenty of articles , photos , music & we 're going to start uploading videos soon .",0
"Not sure if this is the correct place i should post it , but a good video that just uploaded on youtube about these hypocrites .",1
"No I was asking for a link for were it says their banning the celtic cross , but thanks for the link i 'll check it out .",0
Look what happens when Whites leave black Countries alone to do what they do naturally The blacks in White Countries today should be on their knees thanking Whites for trying to civilize them,1
If she continues worshipping negroes and homos the odds are good this scenario will repeat .,1
New Supreme Court Justice Lord Dyson JC Article .,0
"YouTube - Orangutan Towan Paints at Woodland Park Zoo , HD",0
immigrants are desperate to stay here. who can blame them ? our government treats them as lords and we as muck. welcome to SFI Pluirin !,1
They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racist . '',1
This fight isnt over yet .,0
The next generation of humanity should thank you for not having been infected with your flawed genetic structure .,1
So therefore they 're not the dumb brutes like blacks are .,1
Where a white woman can go about in public and not fear assault by muds .,1
We're letting these creatures flow openly through our air and sea ports and not performing so much as a background test on them .,1
Anyone white person would if they knew the truth .,0
hi school is a zoo and suck i hate my school to but white trash is some one who is a race mixers or a w * * * * * * white power at all times,1
I was sort of hoping that they will bring back Ebola and spread it around to their own kind and the rest of the undesirables who are not wanted here .,1
Sir Thomas Lawrence .,0
I 've only recently came to new conclusions ; or found old ones .,0
The worst thing happened to internet freedoms when albanians used their spare time from selling drugs to learn to use computers .,1
I hope you all stick around on SF and become involved/stay involved with nationalist politics .,0
"I saw on news here in Kentucky a few days ago where someone had spray painted `` KKK '' on the side of a black School security officer 's house , they hadnt found who did it but they said it was a possible hate crime .",0
Get over watching monkeys throw a ball around and get a real hobby for God 's sake .,1
Yes he is very sick person with identity crisis who need therapy .,0
"I have lived in Mexico for 16 years and yes , it was too hard being surrounded by so many brownies ( mestizos and indigenous ) .",1
X ) `` Stone Family Band : with new in-law at far left and new future in-law at far right .,0
That is how we get happy country .,0
"A group of American men in the late 1700s decided they could defend themselves against the government of England , but it was illegal to do so .",0
Fatal shooting victim Police find murder victim Clinton woman 's death ruled a homicide,0
"Hell , the way we are deliberately poisoning ourselves I 'm surprised we have lasted this long !",0
I've heard that men with AIDS in Africa think having sex with a virgin will cure them .,1
Yes that game is pretty good its truly 100 % negroid killing action aka mini RAHOWA But i would like to see a expansion set of it ........................ next mission in harlem : laugh that would be perfect then .,1
That ape tried to gang up a lone white .,1
Was n't Beethoven a Native American ?,0
Thanks for the idea 's ...,0
Hope to talk to you later .,0
Niggas do n't wait in no lines .,1
"Let's hope he 's right , and that the heads of the Marxist elites currently ruling Europe start to roll .",0
Sounds like things are pretty cool for you and your family .,0
i hate them .. ever since i once got beaten up by 6 of them .. real hero 's since then i because nazi,1
Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .,1
No one else is going to bother telling this story .,0
It is the Asians in White countries that bug me .,1
Our brothers & sisters in SA must stand their ground because they have earned through the blood and sweat of their ancestors .,0
"if i end up with kids i would prefer to home school them. i worry about it though as i am not very intelligent , nor do i have experience with kids or educating them. i guess i couldnt do much worse than the public schools though. i do have a kind of plan as far as social skills. i would put my kids in sports and classes like gymnastics and karate .",0
"1. good news , especially that of the gospel [ < A.S. god spel , good tidings ] ; 2. one who carries the gospel news ; an evangelist : Evangel , Archaic , any one of the four Gospels. [ < Gk. euaggelion , the gospel < eu , well + aggellos , a messenger ]",0
The Wolf,0
I've seen those walls in Cuzco .,0
"Since the eleventh letter of the alphabet is K , 3 Ks = Ku Klux Klan .",0
Maximum resistance towards Zog !,1
They have been taking advantage of our over-welcoming nature for far to long .,1
"I find it funny that blacks find their own women disgusting , but i find it even more disgusting that because of this they go after white women , and are usually successful , its good to see a white girl tell one off .",1
Homepage < < Go and check out what your homies are up too .,0
Apes even have the instinct to basically leave these for dead .,1
The best way to prevent Black on White rape is to succeed in our goal of removing them all from white countries .,1
* Unsubscribed * Off to the SA threads .,0
"Francesca Battistelli : Beautiful Beautiful YouTube - Francesca Battistelli - Beautiful , Beautiful ( Video ) Meredith Andrews : You 're Not Alone YouTube - Meredith Andrews - You 're Not Alone ( Music Video )",0
"Like it or not , and I certainly do n't , but Ireland , especially NI is littered with memorials to , and even statues of , red terrorists .",1
If interested email me at claw9165@yahoo.com,0
"Yup, Africans breeding like cockroaches , AIDs is not killing them off fast enough to stop their growth !",1
Just ran across this letter from Finland written by a non-racist .,0
I have taken THAT particular test like ten times before .,0
Islam is a false religion however unlike some other false religions it is crude and appeals to crude people such as arabs .,1
I dont think it will work moot is too much of a libtard to allow that going on for too long,1
"but if you print it and get it into comic stores , you get a lot more coverage of the population , my oppinion .",0
When ever I see these white children murdered by these sub humans it makes me so angry I could cry .,1
What typical brainwashed liberal lemming .,1
We have a little piece of legislation called the Prohibition of Foreign Military Assistance Act This prohibits mercs from operating in South Africa. on pain of five years of hell in a kaffer jail .,1
I guess the Yonge St retail district will be smashed and looted .,1
An ape without a penis will never be able to pass it on to others .,1
Typical Negro .,1
"Oil on canvas , 60 x 70 cm .",0
"Thank you , C _ R.",0
"They sound so naive , when will they learn that these people do not want to intergrate just accumulate .",1
The cross-dressers and faggots are sure not hiding their identity .,0
"my kids want to hang around and bring a couple of nigs into the house .if i do.some members of my family will blank me.if i dont allow it. the kids themselves will blank me for a while , so either way i cant win",0
"Hell, if he had been white they would have thrown his ass in jail , suspended him from school , and it would have been all over CNN ABC NBC and CBS .",0
"By the way , if the person you 're speaking to is claiming that blacks are held back it 's their duty to prove their claim , not your duty to disprove it .",0
I did n't realize we were offending you by pointing out how often Asians and Jews get surgery to look more White .,1
"i've felt anger when i 've read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i 'm from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them !",1
"Oh, yes they will skin us alive if given the chance .",1
Both me and my wife would be very involved in every aspect of their schooling and the area we are moving to is very very white so will have to find out more from white parents already there that send their children to public school .,0
Pakis asians and even jungle bunnies come in and * * * * starts getting weird .,1
Same with all of Europe after the evil yellow invasion .,1
It was ' National Song and Dance Festival ' in Estonia today and yesterday .,0
We are looking into building `` mud free zones '' by way of taking over key locations and building a refuge for our racial kindred .,1
"When I have the five children I wish to have , every Sunday I will read for then Mein Kampf , my bible I am not kidding .",0
I do n't look down on these degrees as much as I used to .,0
Hell I 'd rather clean a dozen tiolets a day then have to walk into a bathroom and see some mongrel standing there with a mop giving me a glassy-eyed stare .,1
All i have to say is none of this crap that is happening in the world is going to change unless people on a large scale actually stand up and say no we have had enough and drag the scum in the streets and deal with them in a most violent way .,1
i live near albany but i could hang out with u if u want we could beat upsome unpure infidels if you would like,1
"im a 21 year old white woman , mother of one 2 year old boy. i have been looking for others like me in oregon for quite some time now and have ony found a few .",0
I say take asian obsessed white men and dump them in some third world asian crap whole and never let them come back .,1
"My kids are in a co-op that meets weekly , they attend church activities twice a week , and they are active in sports and other activities .",0
"Liberals will have you believe it is so they can blame Whitey but it 's all such a mixed hell hole , all that breeding with arabs ....",1
"Two days ago I tapped out a half asian , half White mongrel who was bigger than me .",1
"Yes Muslims do breed like vermin , i believe that 's part of their intention to breed out other races in order to make themselves the majority .",1
"He is the kind of anti-white , that will whine about ' anti-White racism ' , instead of just calling them ' anti-White ' .",0
I am disgusted by the amount of white hate and brown love that teachers try to pump into my 16 year olds head .,1
"They mutilate their own , and they do their best to see to it that those whom they see as their goyim slaves are also marked ....",1
She came to hate the African poachers and showed no mercy towards them .,0
Does it surprise you that those White hating non-whites still want to live in White countries made GREAT by White people and brought low by non-whites ?,1
She became a suspect when two people contacted the Department of Revenue claiming an agency employee requested credit card information when they called to make payments on their accounts .,0
"I can honestly say that I have minority friends , and would n't hesitate to deal with the harsh reality that they must be deported .",1
